niter, ntrue, nfalse, numObs,coeff1, coeff2, coeff3, coeff4, coeff5
100, 5, 100, 47, 3.0, 3.0, -2.0, -2.0, -2.0
100, 5, 200, 47, 3.0, 3.0, -2.0, -2.0, -2.0
100, 5, 300, 47, 3.0, 3.0, -2.0, -2.0, -2.0
100, 5, 400, 47, 3.0, 3.0, -2.0, -2.0, -2.0
