niter, ntrue, nfalse, numObs,coeff1, coeff2, coeff3, coeff4, coeff5, coeff6,coeff7, coeff8, coeff9, coeff10
100, 10, 10, 975, 1.0, 2.0, 3.0, 4.0, 5.0, -1.0, -2.0, -3.0, -4.0,-5.0
100, 10, 20, 975, 1.0, 2.0, 3.0, 4.0, 5.0, -1.0, -2.0, -3.0, -4.0,-5.0
100, 10, 30, 975, 1.0, 2.0, 3.0, 4.0, 5.0, -1.0, -2.0, -3.0, -4.0,-5.0
100, 10, 38, 975, 1.0, 2.0, 3.0, 4.0, 5.0, -1.0, -2.0, -3.0, -4.0,-5.0
