niter, ntrue, nfalse, numObs,coeff1, coeff2,coeff3
100, 3, 100, 47, 1.0, -0.5, -0.5
100, 3, 200, 47, 1.0, -0.5, -0.5
100, 3, 300, 47, 1.0, -0.5, -0.5
100, 3, 400, 47, 1.0, -0.5, -0.5
